"skewSurge"
"1"	-0.0355
"2"	-0.1355
"3"	-0.2389
"4"	-0.1079
"5"	-0.0851
"6"	-0.1657
"7"	-0.3134
"8"	-0.3178
"9"	-0.3009
"10"	-0.1483
"11"	-0.0899
"12"	-0.2525
"13"	-0.3055
"14"	-0.2072
"15"	-0.1902
"16"	-0.1861
"17"	-0.2336
"18"	-0.1937
"19"	-0.2087
"20"	-0.2084
"21"	-0.2057
"22"	-0.1617
"23"	-0.177
"24"	-0.2614
"25"	-0.1736
"26"	-0.2105
"27"	-0.1375
"28"	-0.2382
"29"	-0.1846
"30"	-0.196
"31"	-0.1064
"32"	-0.1441
"33"	-0.2023
"34"	-0.2375
"35"	-0.2543
"36"	-0.2487
"37"	-0.164
"38"	-0.1213
"39"	-0.1437
"40"	-0.1304
"41"	-0.086
"42"	-0.0602
"43"	-0.048
"44"	-0.0154
"45"	0.0084
"46"	0.0515
"47"	0.126
"48"	0.0674
"49"	0.0041
"50"	-0.0645
"51"	-0.0913
"52"	-0.0674
"53"	-0.0434
"54"	-0.0681
"55"	-0.0617
"56"	-0.04
"57"	-0.0111
"58"	-0.0073
"59"	-0.0565
"60"	-0.213
"61"	-0.1381
"62"	-0.0282
"63"	-0.2322
"64"	3e-04
"65"	-0.3026
"66"	-0.0286
"67"	-0.0311
"68"	-0.1452
"69"	-0.1565
"70"	-0.1538
"71"	-0.1116
"72"	-0.1941
"73"	-0.2584
"74"	-0.2289
"75"	-0.1603
"76"	-0.1125
"77"	-0.1028
"78"	-0.0746
"79"	-0.0924
"80"	-0.0507
"81"	-0.0966
"82"	-0.134
"83"	-0.0705
"84"	-0.0712
"85"	-0.0039
"86"	0.3691
"87"	0.2645
"88"	0.1924
"89"	-0.1113
"90"	-0.0209
"91"	-0.1241
"92"	-0.005
"93"	-0.105
"94"	-0.047
"95"	-0.192
"96"	-0.2781
"97"	-0.2931
"98"	-0.3537
"99"	-0.1966
"100"	-0.1217
"101"	-0.1239
"102"	-0.1097
"103"	-0.0775
"104"	-0.0363
"105"	-0.0558
"106"	-0.0953
"107"	-0.1363
"108"	-0.1285
"109"	-0.1561
"110"	-0.1508
"111"	-0.0967
"112"	-0.1269
"113"	-0.0925
"114"	-0.0947
"115"	-0.2422
"116"	-0.1556
"117"	-0.1578
"118"	-0.1515
"119"	-0.1941
"120"	-0.1765
"121"	-0.2376
"122"	-0.2182
"123"	-0.022
"124"	-0.0463
"125"	-0.2011
"126"	-0.1367
"127"	-0.1743
"128"	-0.1851
"129"	-0.2363
"130"	-0.2371
"131"	-0.2794
"132"	-0.338
"133"	-0.3577
"134"	-0.0856
"135"	-0.1818
"136"	-0.0989
"137"	-0.1914
"138"	-0.1101
"139"	-0.1931
"140"	-0.1767
"141"	-0.2706
"142"	-0.214
"143"	-0.2233
"144"	-0.252
"145"	-0.2724
"146"	-0.302
"147"	-0.2511
"148"	-0.294
"149"	-0.2533
"150"	-0.2785
"151"	-0.276
"152"	-0.1291
"153"	0.061
"154"	-0.0129
"155"	-0.0917
"156"	-0.1374
"157"	-0.1233
"158"	-0.0762
"159"	-0.0707
"160"	0.3646
"161"	0.3465
"162"	-0.1166
"163"	-0.1039
"164"	-0.1262
"165"	-0.1063
"166"	-0.1605
"167"	-0.1236
"168"	-0.2193
"169"	-0.1441
"170"	-0.1535
"171"	-0.0933
"172"	-0.1007
"173"	-0.1297
"174"	-0.0655
"175"	-0.1315
"176"	-0.0722
"177"	-0.1005
"178"	-0.0253
"179"	-0.027
"180"	0.0091
"181"	0.0634
"182"	0.2433
"183"	0.1236
"184"	0.1641
"185"	-0.046
"186"	0.0849
"187"	0.0323
"188"	0.1346
"189"	0.1339
"190"	0.2017
"191"	0.2623
"192"	0.3679
"193"	0.2665
"194"	0.3209
"195"	0.2001
"196"	0.2914
"197"	0.3528
"198"	0.3713
"199"	0.2607
"200"	-0.0681
"201"	-0.0928
"202"	0.0248
"203"	0.0996
"204"	0.1421
"205"	0.1524
"206"	-0.0767
"207"	-0.1037
"208"	0.0154
"209"	0.0879
"210"	0.1318
"211"	0.022
"212"	-0.1114
"213"	-0.1111
"214"	-0.0705
"215"	-0.1748
"216"	-0.1194
"217"	-0.1578
"218"	-0.1318
"219"	-0.1213
"220"	-0.0613
"221"	-0.0226
"222"	-0.0474
"223"	-0.0575
"224"	-0.1005
"225"	-0.0126
"226"	-0.0044
"227"	0.09
"228"	0.0299
"229"	0.0989
"230"	0.0303
"231"	0.0941
"232"	0.1175
"233"	0.0343
"234"	0.0535
"235"	-0.0526
"236"	0.0304
"237"	0.0217
"238"	0.1587
"239"	0.1932
"240"	0.2765
"241"	0.1085
"242"	0.1403
"243"	-0.009
"244"	0.0717
"245"	0.1032
"246"	0.1049
"247"	0.0443
"248"	-0.0132
"249"	-0.0119
"250"	-0.1808
"251"	-0.2309
"252"	-0.2212
"253"	-0.1833
"254"	-0.175
"255"	-0.183
"256"	-0.1366
"257"	-0.1292
"258"	-0.1238
"259"	-0.0869
"260"	-0.0725
"261"	-0.0904
"262"	-0.0124
"263"	-0.0806
"264"	-0.0676
"265"	-0.0891
"266"	-0.0624
"267"	-0.0198
"268"	-0.0029
"269"	-0.0397
"270"	-0.0389
"271"	0.0028
"272"	0.0191
"273"	0.0406
"274"	0.0791
"275"	0.0926
"276"	0.1871
"277"	0.0727
"278"	0.0753
"279"	0.0047
"280"	-0.0132
"281"	-0.0734
"282"	-0.037
"283"	0.0983
"284"	-0.036
"285"	-0.0352
"286"	-0.0138
"287"	0.0547
"288"	0.0067
"289"	0.028
